case	image	csv	marked	marked_sha256	final_csv_timestamp	decision_timestamp	locked
A01	assets/charts/CH_A01_visible_only.png	assets/visible_only_csv/CH_A01_visible_only.csv	/Users/randyschutt/Desktop/Trading/MMM-Agents/20_CHART_HEAVY_PRACTICAL_V01_V10/attempts/AI_STUDENT_PRACTICAL_002/MARKED_CHARTS/A01_marked.png	ca404f513d42941f526b5fbb0eab871ddc4a1704ad54f2d67300188ee84e5c8f	2013-01-07 01:30	2013-01-07 01:30 UTC-5	2026-08-13T21:05:43-04:00
A02	assets/charts/CH_A02_visible_only.png	assets/visible_only_csv/CH_A02_visible_only.csv	/Users/randyschutt/Desktop/Trading/MMM-Agents/20_CHART_HEAVY_PRACTICAL_V01_V10/attempts/AI_STUDENT_PRACTICAL_002/MARKED_CHARTS/A02_marked.png	d564a4376bfcbc174125d1336d88b836c650d63e6865ff6d64b140714369f7c4	2013-01-28 01:45	2013-01-28 01:45 UTC-5	2026-08-13T21:06:32-04:00
A03	assets/charts/CH_A03_visible_only.png	assets/visible_only_csv/CH_A03_visible_only.csv	/Users/randyschutt/Desktop/Trading/MMM-Agents/20_CHART_HEAVY_PRACTICAL_V01_V10/attempts/AI_STUDENT_PRACTICAL_002/MARKED_CHARTS/A03_marked.png	9fa2f3b9d45dec666b91f56496b3083956445f0e5e8b2c58bcc2af5de3f7e410	2013-02-25 01:00	2013-02-25 01:00 UTC-5	2026-08-13T21:06:43-04:00
A04	assets/charts/CH_A04_visible_only.png	assets/visible_only_csv/CH_A04_visible_only.csv	/Users/randyschutt/Desktop/Trading/MMM-Agents/20_CHART_HEAVY_PRACTICAL_V01_V10/attempts/AI_STUDENT_PRACTICAL_002/MARKED_CHARTS/A04_marked.png	19f533058465335342c21f09b19339d8edff567718d6247f774b9f89be884892	2013-03-18 04:45	2013-03-18 04:45 UTC-5	2026-08-13T21:06:53-04:00
A05	assets/charts/CH_A05_visible_only.png	assets/visible_only_csv/CH_A05_visible_only.csv	/Users/randyschutt/Desktop/Trading/MMM-Agents/20_CHART_HEAVY_PRACTICAL_V01_V10/attempts/AI_STUDENT_PRACTICAL_002/MARKED_CHARTS/A05_marked.png	d642fc8e6085eac397698fc8715f86c036e11f0330c4d18cf10a6a78ba5f0255	2013-04-08 04:00	2013-04-08 04:00 UTC-5	2026-08-13T21:07:04-04:00
A06	assets/charts/CH_A06_visible_only.png	assets/visible_only_csv/CH_A06_visible_only.csv	/Users/randyschutt/Desktop/Trading/MMM-Agents/20_CHART_HEAVY_PRACTICAL_V01_V10/attempts/AI_STUDENT_PRACTICAL_002/MARKED_CHARTS/A06_marked.png	63a3e2d3c6301a207d1a9e0fa3e52adf28bc2231912346db0ec9af5aada8069c	2013-04-29 02:45	2013-04-29 02:45 UTC-5	2026-08-13T21:07:12-04:00
A07	assets/charts/CH_A07_visible_only.png	assets/visible_only_csv/CH_A07_visible_only.csv	/Users/randyschutt/Desktop/Trading/MMM-Agents/20_CHART_HEAVY_PRACTICAL_V01_V10/attempts/AI_STUDENT_PRACTICAL_002/MARKED_CHARTS/A07_marked.png	acbdc895da52724019a2143f428a3b3d166296943f8535d293a8b7dd49a2e430	2013-05-27 03:15	2013-05-27 03:15 UTC-5	2026-08-13T21:07:22-04:00
A08	assets/charts/CH_A08_visible_only.png	assets/visible_only_csv/CH_A08_visible_only.csv	/Users/randyschutt/Desktop/Trading/MMM-Agents/20_CHART_HEAVY_PRACTICAL_V01_V10/attempts/AI_STUDENT_PRACTICAL_002/MARKED_CHARTS/A08_marked.png	e7f694aed6f5e05eab713147d94b7fc75b4e22f82ab844498a88b35c2cc2d1d5	2013-06-17 01:00	2013-06-17 01:00 UTC-5	2026-08-13T21:07:30-04:00
A09	assets/charts/CH_A09_visible_only.png	assets/visible_only_csv/CH_A09_visible_only.csv	/Users/randyschutt/Desktop/Trading/MMM-Agents/20_CHART_HEAVY_PRACTICAL_V01_V10/attempts/AI_STUDENT_PRACTICAL_002/MARKED_CHARTS/A09_marked.png	ebca9abfb22f0c9158e115ae007d31f7f793414bdd216093f79f2cdba77ebb1c	2013-07-08 02:00	2013-07-08 02:00 UTC-5	2026-08-13T21:07:41-04:00
A10	assets/charts/CH_A10_visible_only.png	assets/visible_only_csv/CH_A10_visible_only.csv	/Users/randyschutt/Desktop/Trading/MMM-Agents/20_CHART_HEAVY_PRACTICAL_V01_V10/attempts/AI_STUDENT_PRACTICAL_002/MARKED_CHARTS/A10_marked.png	207f611706df75ad5f13526539ee908fbc2330bc483eb4932efc24530fc5ce34	2013-07-29 02:45	2013-07-29 02:45 UTC-5	2026-08-13T21:07:49-04:00
A11	assets/charts/CH_A11_visible_only.png	assets/visible_only_csv/CH_A11_visible_only.csv	/Users/randyschutt/Desktop/Trading/MMM-Agents/20_CHART_HEAVY_PRACTICAL_V01_V10/attempts/AI_STUDENT_PRACTICAL_002/MARKED_CHARTS/A11_marked.png	7b3776007e6b4d719fc1f712445f2fde26e831bb179d7d110b4c1ef9bc03e773	2013-08-19 02:15	2013-08-19 02:15 UTC-5	2026-08-13T21:07:57-04:00
A12	assets/charts/CH_A12_visible_only.png	assets/visible_only_csv/CH_A12_visible_only.csv	/Users/randyschutt/Desktop/Trading/MMM-Agents/20_CHART_HEAVY_PRACTICAL_V01_V10/attempts/AI_STUDENT_PRACTICAL_002/MARKED_CHARTS/A12_marked.png	b44a35a6a6c98ea44c13b90d89f0c11e7e6d0786f615f4f09ea206b5253054ed	2013-09-16 05:00	2013-09-16 05:00 UTC-5	2026-08-13T21:08:04-04:00
B01	assets/charts/CH_B01_visible_only.png	assets/visible_only_csv/CH_B01_visible_only.csv	/Users/randyschutt/Desktop/Trading/MMM-Agents/20_CHART_HEAVY_PRACTICAL_V01_V10/attempts/AI_STUDENT_PRACTICAL_002/MARKED_CHARTS/B01_marked.png	45d891aa739f4c4195fbf15ba44d4250867ed274234f5d22052cf733f88c84aa	2013-10-08 12:00	2013-10-08 12:00 UTC-5	2026-08-13T21:08:15-04:00
B02	assets/charts/CH_B02_visible_only.png	assets/visible_only_csv/CH_B02_visible_only.csv	/Users/randyschutt/Desktop/Trading/MMM-Agents/20_CHART_HEAVY_PRACTICAL_V01_V10/attempts/AI_STUDENT_PRACTICAL_002/MARKED_CHARTS/B02_marked.png	83bd278b0486b415bc834a113e51e041dbe7b9ab7ed1c209088c6a7410bbfbea	2013-10-29 12:00	2013-10-29 12:00 UTC-5	2026-08-13T21:08:25-04:00
B03	assets/charts/CH_B03_visible_only.png	assets/visible_only_csv/CH_B03_visible_only.csv	/Users/randyschutt/Desktop/Trading/MMM-Agents/20_CHART_HEAVY_PRACTICAL_V01_V10/attempts/AI_STUDENT_PRACTICAL_002/MARKED_CHARTS/B03_marked.png	123cf4eef98fdfa385bfbf96d98876816705c7328a72ea165bcd15e5138d2193	2013-11-19 12:00	2013-11-19 12:00 UTC-5	2026-08-13T21:08:33-04:00
B04	assets/charts/CH_B04_visible_only.png	assets/visible_only_csv/CH_B04_visible_only.csv	/Users/randyschutt/Desktop/Trading/MMM-Agents/20_CHART_HEAVY_PRACTICAL_V01_V10/attempts/AI_STUDENT_PRACTICAL_002/MARKED_CHARTS/B04_marked.png	516813bd27508b0e37c4fd4be74334699dae644aeeaf1fe303dac2b3073d55cd	2013-12-10 12:00	2013-12-10 12:00 UTC-5	2026-08-13T21:08:44-04:00
B05	assets/charts/CH_B05_visible_only.png	assets/visible_only_csv/CH_B05_visible_only.csv	/Users/randyschutt/Desktop/Trading/MMM-Agents/20_CHART_HEAVY_PRACTICAL_V01_V10/attempts/AI_STUDENT_PRACTICAL_002/MARKED_CHARTS/B05_marked.png	4574fccba67d020e424e97fe55bde8d09be004934d3c800910a598b2bb25cc3f	2013-12-31 12:00	2013-12-31 12:00 UTC-5	2026-08-13T21:08:57-04:00
B06	assets/charts/CH_B06_visible_only.png	assets/visible_only_csv/CH_B06_visible_only.csv	/Users/randyschutt/Desktop/Trading/MMM-Agents/20_CHART_HEAVY_PRACTICAL_V01_V10/attempts/AI_STUDENT_PRACTICAL_002/MARKED_CHARTS/B06_marked.png	de65908adce2a97eb72f4904ebafacd7053994608f14a9120de6fd0ec87ce243	2014-01-21 12:00	2014-01-21 12:00 UTC-5	2026-08-13T21:09:08-04:00
B07	assets/charts/CH_B07_visible_only.png	assets/visible_only_csv/CH_B07_visible_only.csv	/Users/randyschutt/Desktop/Trading/MMM-Agents/20_CHART_HEAVY_PRACTICAL_V01_V10/attempts/AI_STUDENT_PRACTICAL_002/MARKED_CHARTS/B07_marked.png	1f8d9ff624532cf321d85e7e02602c8f72bb8fe9c3b657a859a20b66d64fdb79	2014-02-18 12:00	2014-02-18 12:00 UTC-5	2026-08-13T21:09:16-04:00
B08	assets/charts/CH_B08_visible_only.png	assets/visible_only_csv/CH_B08_visible_only.csv	/Users/randyschutt/Desktop/Trading/MMM-Agents/20_CHART_HEAVY_PRACTICAL_V01_V10/attempts/AI_STUDENT_PRACTICAL_002/MARKED_CHARTS/B08_marked.png	e8aa7da99e98657eac13e5768b94666f02c67f2c97b613c5c777a2c675564024	2014-03-11 12:00	2014-03-11 12:00 UTC-5	2026-08-13T21:09:24-04:00
C01	assets/charts/CH_C01_visible_only.png	assets/visible_only_csv/CH_C01_visible_only.csv	/Users/randyschutt/Desktop/Trading/MMM-Agents/20_CHART_HEAVY_PRACTICAL_V01_V10/attempts/AI_STUDENT_PRACTICAL_002/MARKED_CHARTS/C01_marked.png	3a8784d722f2df281021343baa107ed8d0f29e06c2495675b7188b4a6b74c5b0	2014-04-04 16:45	2014-04-04 16:45 UTC-5	2026-08-13T21:09:38-04:00
C02	assets/charts/CH_C02_visible_only.png	assets/visible_only_csv/CH_C02_visible_only.csv	/Users/randyschutt/Desktop/Trading/MMM-Agents/20_CHART_HEAVY_PRACTICAL_V01_V10/attempts/AI_STUDENT_PRACTICAL_002/MARKED_CHARTS/C02_marked.png	121ea2811d1462bbda6a7e2d56f67e7e7ae5ac0cd0e757bbd57204108b85adf0	2014-04-25 16:45	2014-04-25 16:45 UTC-5	2026-08-13T21:09:47-04:00
C03	assets/charts/CH_C03_visible_only.png	assets/visible_only_csv/CH_C03_visible_only.csv	/Users/randyschutt/Desktop/Trading/MMM-Agents/20_CHART_HEAVY_PRACTICAL_V01_V10/attempts/AI_STUDENT_PRACTICAL_002/MARKED_CHARTS/C03_marked.png	ca4ce625b735826cbccd5ae76d3d93417bee0b96e46819196c9082ec5a6f163f	2014-05-16 16:45	2014-05-16 16:45 UTC-5	2026-08-13T21:09:56-04:00
C04	assets/charts/CH_C04_visible_only.png	assets/visible_only_csv/CH_C04_visible_only.csv	/Users/randyschutt/Desktop/Trading/MMM-Agents/20_CHART_HEAVY_PRACTICAL_V01_V10/attempts/AI_STUDENT_PRACTICAL_002/MARKED_CHARTS/C04_marked.png	d44d7508851fa0a8fe1fbc104f658faa28b57c08ab15029869b2cdcac0f72415	2014-06-13 16:45	2014-06-13 16:45 UTC-5	2026-08-13T21:10:05-04:00
C05	assets/charts/CH_C05_visible_only.png	assets/visible_only_csv/CH_C05_visible_only.csv	/Users/randyschutt/Desktop/Trading/MMM-Agents/20_CHART_HEAVY_PRACTICAL_V01_V10/attempts/AI_STUDENT_PRACTICAL_002/MARKED_CHARTS/C05_marked.png	0f14c1c4f103546f092653bbcf76d663e2670d8c0b7f58b7a101d5e182ef3c9a	2014-07-04 16:45	2014-07-04 16:45 UTC-5	2026-08-13T21:10:16-04:00
C06	assets/charts/CH_C06_visible_only.png	assets/visible_only_csv/CH_C06_visible_only.csv	/Users/randyschutt/Desktop/Trading/MMM-Agents/20_CHART_HEAVY_PRACTICAL_V01_V10/attempts/AI_STUDENT_PRACTICAL_002/MARKED_CHARTS/C06_marked.png	b44fbfb3d41b03efc138dc49e7728dcb4f8773861d1714eb26bd275c5020ae75	2014-08-01 16:45	2014-08-01 16:45 UTC-5	2026-08-13T21:10:28-04:00
C07	assets/charts/CH_C07_visible_only.png	assets/visible_only_csv/CH_C07_visible_only.csv	/Users/randyschutt/Desktop/Trading/MMM-Agents/20_CHART_HEAVY_PRACTICAL_V01_V10/attempts/AI_STUDENT_PRACTICAL_002/MARKED_CHARTS/C07_marked.png	00d335b1b17b32a9898f6f6884a391b8bc9ef033050294c82a6d7da0df06f552	2014-08-22 16:45	2014-08-22 16:45 UTC-5	2026-08-13T21:10:36-04:00
C08	assets/charts/CH_C08_visible_only.png	assets/visible_only_csv/CH_C08_visible_only.csv	/Users/randyschutt/Desktop/Trading/MMM-Agents/20_CHART_HEAVY_PRACTICAL_V01_V10/attempts/AI_STUDENT_PRACTICAL_002/MARKED_CHARTS/C08_marked.png	530606ce72fa2a0b2b94711b6ca191a3638294e61e2666a3fe22f4161ed2959f	2014-09-12 16:45	2014-09-12 16:45 UTC-5	2026-08-13T21:10:47-04:00
